,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Vab ,Rab ,Name,Cole Tau,Cole M,Cole rms
,72.00,65.00,6.00,5.00,9030529.00,0.00,-11.51,75.45,-46.594,0.575,2000,-29.26,-25.37,-22.06,-20.06,-18.67,-17.44,-16.26,-14.78,-13.59,-13.05,-12.05,-11.46,-10.83,-10.61,-9.88,-8.92,-8.32,-7.74,-7.37,-6.83,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,38,66.3,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,8.00,7.00,2440193.00,0.00,-4.42,66.72,-18.247,0.757,2000,-13.23,-11.04,-10.42,-9.61,-7.45,-7.48,-6.99,-6.53,-5.29,-5.08,-4.66,-4.77,-4.43,-3.32,-3.15,-2.61,-3.10,-2.35,-2.37,-2.52,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,7.00,6.00,4802569.00,0.00,1.71,-49.83,-34.194,0.757,2000,7.88,4.93,4.41,3.91,3.19,3.29,2.82,2.21,1.98,1.95,2.00,1.39,1.38,1.35,1.27,1.04,1.06,0.71,0.75,0.71,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.4,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,10.00,9.00,-2169598.75,0.00,6.91,-43.70,17.894,0.755,2000,35.65,25.22,21.22,17.59,15.19,13.66,12.29,10.68,9.23,7.60,6.88,5.46,6.08,4.38,4.15,3.52,2.92,2.89,2.07,1.84,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,9.00,1.00,311075.47,0.00,10.22,92.19,-16.577,0.755,2000,46.21,34.70,29.13,24.06,21.72,19.78,17.98,15.43,13.16,11.63,10.73,8.47,8.45,6.87,6.71,6.11,4.89,4.79,3.62,3.06,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.5,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,14.00,13.00,2553534.00,0.00,-6.53,-3.06,-25.858,0.750,2000,-25.06,-20.26,-17.57,-15.33,-13.49,-11.76,-11.04,-10.06,-8.86,-7.39,-6.80,-6.27,-5.26,-5.16,-4.46,-4.02,-3.57,-2.81,-2.55,-2.49,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,13.00,12.00,119340.31,0.00,129.49,28.89,-1.145,0.750,2000,523.96,406.77,338.02,295.83,274.48,237.50,209.38,206.25,160.42,150.78,134.11,133.85,111.98,101.04,83.72,75.39,63.80,67.45,44.79,50.91,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,12.00,11.00,-3461990.00,0.00,-2.61,-23.77,31.477,0.750,2000,-6.65,-6.93,-6.00,-5.30,-5.08,-4.13,-4.36,-3.53,-3.21,-2.59,-2.98,-2.55,-2.54,-2.21,-2.17,-1.87,-1.68,-1.70,-1.51,-1.03,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,11.00,10.00,-3332990.00,0.00,0.24,39.72,28.757,0.750,2000,3.79,2.26,1.10,1.49,1.60,0.89,0.64,0.91,0.69,0.36,0.30,-0.06,-0.22,-0.10,0.16,-0.11,-0.17,-0.35,-0.37,-0.41,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,10.00,2.00,412608.50,0.00,2.85,67.37,-22.922,0.750,2000,9.78,7.67,6.50,5.88,5.38,5.15,5.96,4.97,4.47,4.02,3.68,3.23,2.85,2.77,2.25,1.14,1.06,1.17,1.14,0.73,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.7,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,16.00,8.00,172058.94,0.00,-4.28,-10.19,-13.001,0.751,2000,-16.46,-13.02,-10.41,-9.54,-7.80,-6.51,-6.14,-5.87,-5.55,-5.18,-3.67,-5.00,-4.47,-3.00,-3.69,-3.01,-2.32,-1.81,-2.41,-1.04,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,66.9,MALMIP0113,0.0,0.00,0.0
,72.00,65.00,18.00,17.00,-955928.50,0.00,7.75,-11.33,12.133,0.748,2000,35.48,25.35,20.29,18.52,17.00,15.33,15.82,12.73,10.64,9.85,6.46,5.33,6.95,5.90,5.60,4.97,3.51,2.92,2.56,1.79,40,40,40,40,40,40,40,40,80,80,80,80,80,80,80,160,160,160,160,160,160,1,50,67.1,MALMIP0113,0.0,0.00,0.0
