2410
680	1 11	1 13	1 39	1 41
681	1 11	1 13	1 41	1 43
682	1 11	1 13	1 43	1 45
683	1 11	1 13	1 45	1 47
684	1 11	1 13	1 47	1 49
685	1 11	1 13	1 49	1 51
686	1 11	1 13	1 51	1 53
687	1 11	1 13	1 53	1 55
688	1 11	1 13	1 52	1 54
689	1 11	1 13	1 54	1 56
690	1 11	1 13	1 56	1 58
691	1 11	1 13	1 58	1 60
692	1 11	1 13	1 60	1 62
693	1 11	1 13	1 62	1 64
694	1 11	1 13	1 64	1 66
695	1 11	1 13	1 66	1 68
696	1 11	1 13	1 68	1 70
697	1 11	1 13	1 70	1 72
698	1 11	1 13	1 55	1 57
699	1 11	1 13	1 57	1 59
700	1 11	1 13	1 59	1 61
701	1 11	1 13	1 61	1 63
702	1 11	1 13	1 63	1 65
703	1 11	1 13	1 65	1 67
704	1 11	1 13	1 67	1 69
705	1 11	1 13	1 69	1 71
706	1 11	1 13	1 71	1 1
707	1 11	1 13	1 72	1 2
708	1 12	1 14	1 13	1 15
709	1 12	1 14	1 17	1 19
710	1 12	1 14	1 19	1 21
711	1 12	1 14	1 21	1 23
712	1 12	1 14	1 23	1 25
713	1 12	1 14	1 25	1 27
714	1 12	1 14	1 27	1 29
715	1 12	1 14	1 29	1 31
716	1 12	1 14	1 31	1 33
717	1 12	1 14	1 16	1 18
718	1 12	1 14	1 18	1 20
719	1 12	1 14	1 20	1 22
720	1 12	1 14	1 22	1 24
721	1 12	1 14	1 24	1 26
722	1 12	1 14	1 26	1 28
723	1 12	1 14	1 28	1 30
724	1 12	1 14	1 30	1 32
725	1 12	1 14	1 32	1 34
726	1 12	1 14	1 34	1 36
727	1 12	1 14	1 33	1 35
728	1 12	1 14	1 35	1 37
729	1 12	1 14	1 37	1 39
730	1 12	1 14	1 39	1 41
731	1 12	1 14	1 41	1 43
732	1 12	1 14	1 43	1 45
733	1 12	1 14	1 45	1 47
734	1 12	1 14	1 47	1 49
735	1 12	1 14	1 49	1 51
736	1 12	1 14	1 51	1 53
737	1 12	1 14	1 36	1 38
738	1 12	1 14	1 38	1 40
739	1 12	1 14	1 40	1 42
740	1 12	1 14	1 42	1 44
741	1 12	1 14	1 44	1 46
742	1 12	1 14	1 46	1 48
743	1 12	1 14	1 48	1 50
744	1 12	1 14	1 50	1 52
745	1 12	1 14	1 52	1 54
746	1 12	1 14	1 54	1 56
747	1 12	1 14	1 53	1 55
748	1 12	1 14	1 55	1 57
749	1 12	1 14	1 57	1 59
750	1 12	1 14	1 59	1 61
751	1 12	1 14	1 61	1 63
752	1 12	1 14	1 63	1 65
753	1 12	1 14	1 65	1 67
754	1 12	1 14	1 67	1 69
755	1 12	1 14	1 69	1 71
756	1 12	1 14	1 71	1 1
757	1 12	1 14	1 56	1 58
758	1 12	1 14	1 58	1 60
759	1 12	1 14	1 60	1 62
760	1 12	1 14	1 62	1 64
761	1 12	1 14	1 64	1 66
762	1 12	1 14	1 66	1 68
763	1 12	1 14	1 68	1 70
764	1 12	1 14	1 70	1 72
765	1 12	1 14	1 72	1 2
766	1 13	1 15	1 14	1 16
767	1 13	1 15	1 20	1 22
768	1 13	1 15	1 22	1 24
769	1 13	1 15	1 24	1 26
770	1 13	1 15	1 26	1 28
771	1 13	1 15	1 28	1 30
772	1 13	1 15	1 30	1 32
773	1 13	1 15	1 32	1 34
774	1 13	1 15	1 17	1 19
775	1 13	1 15	1 19	1 21
776	1 13	1 15	1 21	1 23
